,aggregation_time
0,0.0035812854766845703
1,0.0023834705352783203
2,0.0018696784973144531
3,0.0018763542175292969
4,0.0015103816986083984
5,0.0018162727355957031
6,0.0018091201782226562
7,0.0015785694122314453
8,0.0016193389892578125
9,0.001585245132446289
10,0.0016701221466064453
11,0.0018148422241210938
12,0.0018486976623535156
13,0.0018055438995361328
14,0.0018126964569091797
15,0.001779317855834961
16,0.0018427371978759766
17,0.001745462417602539
18,0.0018093585968017578
19,0.0015468597412109375
20,0.0016782283782958984
21,0.0016331672668457031
22,0.001566171646118164
23,0.001703023910522461
24,0.0018739700317382812
25,0.0016071796417236328
26,0.0019185543060302734
27,0.0017120838165283203
28,0.0014960765838623047
29,0.0016226768493652344
